address,latitude,longitude,city,state,postal_code,price,price_sqft,#bedrooms,#bathrooms,sqft,url
465 Bryan St SE,33.743952,-84.372319,ATLANTA,GA,30312,355000,185,4,4,3229,https://www.zillow.com/homedetails/465-Bryan-St-SE-Atlanta-GA-30312/35878073_zpid/
465 Glenwood Ave SE,33.742584,-84.372311,ATLANTA,GA,30312,570250,182,5,3,3120,https://www.zillow.com/homedetails/465-Glenwood-Ave-SE-Atlanta-GA-30312/35878036_zpid/
465 Kelly St SE,33.742043,-84.380789,ATLANTA,GA,30312,290000,148,3,2,1948,https://www.zillow.com/homedetails/465-Kelly-St-SE-Atlanta-GA-30312/92192561_zpid/
465 Pine Forest Rd,33.879336,-84.37228,Sandy springs,GA,30342,615000,336,3,2,1830,https://www.zillow.com/homedetails/465-Pine-Forest-Rd-Sandy-Springs-GA-30342/35934396_zpid/
4651 Magnolia Cmns,33.93313,-84.343561,Dunwoody,GA,30338,300000,215,3,2.5,1390,https://www.zillow.com/homedetails/4651-Magnolia-Cmns-Dunwoody-GA-30338/79989491_zpid/
4653 Ivygate Cir SE,33.843652,-84.485514,ATLANTA,GA,30339,370500,146,2,3.5,2532,https://www.zillow.com/homedetails/4653-Ivygate-Cir-SE-Atlanta-GA-30339/87676835_zpid/
4655 Greenbriar Trl SW,33.705037,-84.539578,ATLANTA,GA,30331,70000,52,4,2,1344,https://www.zillow.com/homedetails/4655-Greenbriar-Trl-SW-Atlanta-GA-30331/65450794_zpid/
4656 W Village Dr SE,33.841462,-84.49492,SMYRNA,GA,30080,435000,145,4,4,2982,https://www.zillow.com/homedetails/4656-W-Village-Dr-SE-Smyrna-GA-30080/97982243_zpid/
466 Shannon Dr SW,33.716493,-84.40294,ATLANTA,GA,30310,252500,123,3,2,2037,https://www.zillow.com/homedetails/466-Shannon-Dr-SW-Atlanta-GA-30310/35891413_zpid/
466 Wimbledon Rd NE,33.807006,-84.371969,ATLANTA,GA,30324,497900,330,2,2,1506,https://www.zillow.com/homedetails/466-Wimbledon-Rd-NE-Atlanta-GA-30324/35932260_zpid/
